Šiauliai
C,Spurgis,725,Norvegų miškinės,Jurgis,869712120,2012-08-17
C,Melisa,829,Persų,Amelija,861489795,2009-10-23
C,Murkė,621,Sibiro,Onutė,869720061,2008-02-20
D,Lapsis,465,Biglis,Benediktas,864933452,2015-01-05,FALSE
D,Bumsis,467,Biglis,Benediktas,864933452,2015-01-05,FALSE
D,Mopsis,466,Biglis,Benediktas,864933452,2015-01-05,FALSE
D,Donas,654,Labradoras,Dorotė,861590432,2009-09-09,FALSE
D,Dingas,648,Labradoras,Aistė,868922564,2008-05-24,FALSE
C,Micis,869,Meino meškėnas,Sandra,868723234,2013-12-20
C,Pupsė,892,Persų,Danutė,867289254,2009-09-03
D,Princė,549,Pudelis,Zita,861354852,2010-05-23,FALSE
D,Rokis,384,Buldogas,Algirdas,867910842,2013-08-30,TRUE
G,Dzeris,Juodasis,Juozas,867548587,2013-04-05
